Scenario,controls,covid,year,statistic,value
B.2.1,Internal,covid,2,abs.mean.bias,2.5890363862557106
B.2.1,Internal,covid,2,mean.bias,-2.5890363862557106
B.2.1,Internal,covid,2,sd,3.3259968882220816
B.2.1,Internal,covid,2,rmse,4.212272569435419
B.2.1,Internal,covid,3,mean.abs.bias,4.3583830172500155
B.2.1,Internal,covid,3,abs.mean.bias,3.440754140392875
B.2.1,Internal,covid,3,mean.bias,-3.440754140392875
B.2.1,Internal,covid,3,sd,4.066407650880765
B.2.1,Internal,covid,3,rmse,5.323663108744396
B.2.1,Internal,covid,4,mean.abs.bias,5.214991105660598
B.2.1,Internal,covid,4,abs.mean.bias,4.05857663830539
B.2.1,Internal,covid,4,mean.bias,-4.05857663830539
B.2.1,Internal,covid,4,sd,4.950426602598368
B.2.1,Internal,covid,4,rmse,6.397636628444638
B.2.1,Internal,covid,5,mean.abs.bias,6.048340188309217
B.2.1,Internal,covid,5,abs.mean.bias,4.578425738504231
B.2.1,Internal,covid,5,mean.bias,-4.578425738504231
B.2.1,Internal,covid,5,sd,5.892101507181163
B.2.1,Internal,covid,5,rmse,7.457171628277218
B.2.1,Internal,nocovid,1,mean.abs.bias,1.303521656483252
B.2.1,Internal,nocovid,1,abs.mean.bias,0.553898022000906
B.2.1,Internal,nocovid,1,mean.bias,-0.553898022000906
B.2.1,Internal,nocovid,1,sd,1.522341764794673
B.2.1,Internal,nocovid,1,rmse,1.6185463906595323
B.2.1,Internal,nocovid,2,mean.abs.bias,2.1725360941387506
B.2.1,Internal,nocovid,2,abs.mean.bias,0.9231633700015034
B.2.1,Internal,nocovid,2,mean.bias,-0.9231633700015034
B.2.1,Internal,nocovid,2,sd,2.5372362746577863
B.2.1,Internal,nocovid,2,rmse,2.697577317765883
B.2.1,Internal,nocovid,3,mean.abs.bias,3.0415505317942455
B.2.1,Internal,nocovid,3,abs.mean.bias,1.2924287180021088
B.2.1,Internal,nocovid,3,mean.bias,-1.2924287180021088
